Mes,Dia,Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,AreaServico_PMV,AreaServico_Temp,Circulacao_PMV,Circulacao_Temp,Casal_PMV,Casal_Temp,Banheiro_PMV,Banheiro_Temp,Jardim_PMV,Jardim_Temp,Solteiro_PMV,Solteiro_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaServicoLeste,JanelaServicoSul,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste,JanelaBanheiroLeste,PortaBanheiroOeste,JanelaJardimNorte,JanelaJardimLeste,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste,JanelaSegundoSul
1.0,1.0,0.0,16.8,5.4,123.0,91.0,1.13594865305,0.0,-1.45762595626,16.9889769467,-1.49625277948,17.6725750033,-4.72410180706,19.5206573115,-1.79939505795,17.1779962715,-1.16564740347,18.6667737528,-4.65758299191,19.4992968684,-1.5875862984,17.7595493342,-1.20388617136,18.352289162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,16.5,4.6,135.0,92.0,1.13693420486,0.0,-2.43951334055,20.9549862709,-2.303788156,21.4189632698,-4.92440288862,23.1754633563,-2.5530477481,20.1766161027,-2.02180819738,21.8464506966,-4.8885693042,23.4287155315,-2.83390183049,23.0029700968,-2.18623224032,21.5867837487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,16.6,4.6,143.0,92.0,1.13652950261,0.0,-1.69348285351,21.5195701252,-1.58702824535,22.2275168643,-3.84500125961,23.8710315005,-2.00448206678,20.2782698641,-1.42032689908,21.8227217509,-3.72409745622,24.2134507544,-1.67877061347,24.2740090769,-1.52867281344,22.2863694901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,3.0,16.5,3.1,152.0,94.0,1.13720429895,0.0,-1.57951858864,21.9478354999,-1.42361631444,22.281731027,-3.61459623981,23.9131788345,-1.99010314692,20.3493569432,-1.42245608999,21.8706432273,-3.45823590999,24.2584330624,-1.38218068357,24.3190999886,-1.37151527341,22.4287116078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,4.0,16.3,4.8,144.0,94.0,1.13777748519,0.0,-1.49409191235,21.6416872686,-1.4073659813,22.4086038548,-3.57984426369,24.0222790438,-1.98220587089,20.3243823939,-1.42661057367,21.8692436544,-3.41478273532,24.4285344695,-1.36257189459,24.5645750528,-1.33996778528,22.5838820685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,5.0,16.4,4.7,146.0,94.0,1.13761150444,0.0,-1.54894602837,21.7047449965,-1.37577288123,22.4438250416,-3.52825218935,24.082700868,-1.99119995153,20.3254449682,-1.43642968199,21.8201310437,-3.33920574174,24.5103512866,-1.30137690503,24.6023933452,-1.30613444988,22.6253763156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,6.0,17.2,6.8,153.0,93.0,1.13409595106,0.0,-1.5274643375,21.6309229169,-1.36146838395,22.4707053901,-3.48945115051,24.1402468147,-1.98961062485,20.3155028153,-1.42400931888,21.9787198614,-3.2862956961,24.5863819007,-1.27937186077,24.101561441,-1.28108047003,22.6770859572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,7.0,18.2,7.7,140.0,84.0,1.13163049789,0.0,-1.49738900674,21.1738984135,-1.33868069902,22.3762089113,-3.4467179244,24.1287302628,-1.96751284359,20.4721473313,-1.32487063926,22.4213370149,-3.23306133599,24.5520397122,-1.36418413824,22.8121632638,-1.22753985903,22.6921138921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,8.0,19.4,7.9,144.0,75.0,1.12825099097,0.0,-1.55588239821,21.551650038,-1.33491950818,21.4004972557,-3.42690662591,23.8685286051,-1.90245785699,20.5892545455,-1.15711765556,23.031068214,-3.21527603825,24.1139420793,-1.59914226366,22.7949111278,-1.15984397751,22.9426702418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,9.0,21.6,8.7,133.0,67.0,1.11936580905,0.0,-1.44404027751,22.1328666182,-1.49642608004,22.2468185355,-3.48032090853,23.6805238625,-1.81989303403,21.2380915364,-0.924945230391,23.6597206968,-3.32332240958,23.8070458384,-1.54353987911,23.0367515047,-1.00764056685,23.3201410281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
